Date  AddAPIElements  RemoveAPIElements ChangeAPIElements ChangeFieldDataType ErrorConditionChange  ChangeAuthentication  BehaviorChange  ChangeAuthorization
2011-01-06  3 0 2 0 0 0 2 0
2011-01-17  0 0 0 0 0 0 1 0
2011-01-21  0 1 0 1 0 0 1 0
2011-02-08  1 0 1 0 0 0 4 0
2011-02-18  0 0 1 0 0 0 4 0
2011-02-22  0 0 0 0 0 0 4 0
2011-03-02  1 0 0 0 0 0 1 0
2011-03-11  0 0 0 0 0 0 4 0
2011-03-17  0 0 1 0 0 0 8 0
2011-03-22  0 0 0 0 0 0 4 0
2011-03-28  1 0 0 0 0 0 2 0
2011-04-05  0 0 0 0 0 0 2 0
2011-04-14  0 0 2 0 0 0 10  0
2011-05-06  1 0 0 0 0 0 2 0
2011-05-17  1 0 0 0 0 0 1 0
2011-06-08  0 1 0 0 0 0 2 0
2011-06-30  0 0 1 0 0 0 3 0
2011-07-05  2 0 0 0 0 0 2 0
2011-07-11  0 0 0 0 0 0 5 0
2011-07-18  0 0 0 0 0 0 1 0
2011-08-02  0 0 0 0 0 0 6 0
2011-08-10  0 0 0 0 0 0 3 0
2011-08-17  2 0 0 0 0 0 1 0
2011-08-24  0 0 0 0 0 0 3 0
2011-08-29  0 0 0 0 0 0 4 0
2011-09-06  0 0 0 0 0 0 2 0
2011-09-12  0 0 0 0 0 0 2 0
2011-09-20  0 0 0 0 0 0 4 0
2011-09-27  1 0 0 0 0 0 6 0
2011-10-10  0 0 0 1 0 0 0 0
2011-10-18  1 1 0 0 0 0 0 0
2011-10-25  0 0 0 0 0 0 1 0
2011-10-31  0 0 0 0 0 0 1 0
2011-11-07  6 0 0 0 0 0 1 0
2011-11-22  0 0 0 0 0 0 2 0
2011-11-28  0 0 0 0 0 0 1 0
2011-12-07  2 0 0 0 0 0 0 0
2012-01-10  0 0 0 0 0 0 1 0
2012-01-16  0 0 0 0 0 0 3 0
2012-01-24  1 0 0 0 0 0 3 0
2012-01-31  1 0 0 0 0 0 3 0
2012-02-07  4 0 0 0 0 0 4 0
2012-02-15  0 0 0 0 0 0 3 0
2012-02-21  2 0 0 0 0 0 2 0
2012-03-06  4 0 0 0 0 0 3 0
2012-03-20  1 0 0 0 0 0 3 0
2012-03-28  0 0 0 0 0 0 2 0
2012-04-03  2 0 0 0 0 0 2 0
2012-04-10  0 0 0 0 0 0 1 0
2012-04-18  3 0 0 0 0 0 1 0
2012-04-23  0 0 0 0 0 0 2 0
2012-05-01  0 0 0 0 0 0 2 0
2012-05-15  3 0 0 0 0 0 0 0
2012-06-23  4 0 0 0 0 0 0 0
2012-06-27  5 0 0 0 0 0 0 0
2012-07-10  0 0 0 1 0 0 0 0
2012-07-17  0 0 2 0 0 0 8 0
2012-07-25  0 0 0 0 0 0 1 0
2012-07-31  0 0 0 0 0 0 3 0
2012-08-09  0 0 0 0 0 0 1 0
2012-08-14  0 0 1 0 0 0 0 0
2012-08-28  1 0 0 0 0 0 2 0
2012-09-10  0 0 0 0 0 0 2 0
2012-09-11  8 0 0 0 0 0 0 0
2012-09-25  3 0 0 0 0 0 0 0
2012-11-27  1 0 0 0 0 0 1 0
2012-12-03  0 0 0 0 0 0 1 0
2012-12-10  1 0 0 0 0 0 2 0
2012-12-17  2 0 0 0 0 0 2 0
2013-01-15  0 0 0 0 0 0 1 0
2013-01-22  5 0 0 0 0 0 0 0
2013-01-29  2 0 0 0 0 0 2 0
2013-02-04  0 0 0 0 0 0 1 0
2013-02-12  0 0 0 0 0 0 3 0
2013-02-19  0 0 0 0 0 0 3 0
2013-04-29  0 0 0 0 0 0 1 0
2013-05-15  1 0 0 0 0 0 0 0
2013-06-04  0 0 0 0 0 0 2 0
2013-06-11  1 0 0 0 0 0 1 0
2013-06-25  1 0 0 0 0 0 0 0
2013-08-15  3 0 0 0 0 0 1 0
2013-09-10  0 0 0 0 0 0 1 0
2013-11-19  0 0 0 0 0 0 1 0
2014-01-16  0 0 0 0 0 0 1 0
2014-01-22  0 0 0 0 0 0 1 0
2014-01-29  0 0 0 0 0 0 1 0
2014-02-03  0 0 0 0 0 0 1 0
2014-02-10  0 0 0 0 0 0 1 0
2014-03-03  0 0 0 0 0 0 1 0
2014-03-12  0 0 0 0 0 0 1 0
2014-03-26  0 0 0 0 0 0 2 0
2014-03-31  0 0 0 0 0 0 1 0
2014-04-08  1 0 0 0 0 0 2 0
2014-04-15  0 0 0 0 0 0 1 0
2014-05-26  0 1 0 0 0 0 0 0
2014-06-24  2 0 0 0 0 0 0 0
2014-07-07  1 0 0 0 0 0 0 0
2014-07-31  1 0 0 0 0 0 0 0
2014-08-12  0 0 0 0 0 0 1 0
2014-08-20  0 0 0 0 0 0 1 0
2014-09-09  0 0 0 0 0 0 1 0
2014-09-18  0 0 0 0 0 0 1 0
