Date  AddAPIElements  RemoveAPIElements ChangeAPIElements ChangeFieldDataType ErrorConditionChange  ChangeAuthentication  BehaviorChange  ChangeAuthorization
2012-09-05  3 0 0 0 0 0 0 0
2012-09-28  1 0 0 0 0 0 0 0
2012-10-14  0 0 0 0 0 0 1 0
2012-09-17  0 0 0 0 0 0 0 1
2012-10-24  1 0 0 0 0 0 0 0
2012-10-26  3 0 0 0 0 0 0 0
2012-10-31  0 0 1 0 0 0 0 0
2012-11-27  1 0 0 0 0 0 0 0
2012-11-29  1 0 0 0 0 0 0 0
2012-12-04  2 0 0 0 0 0 0 0
2012-12-06  1 0 0 0 0 0 0 0
2012-12-08  2 0 0 0 0 0 0 0
2012-12-09  0 0 0 0 0 0 1 0
2012-12-10  3 0 0 0 0 0 0 0
2013-01-08  0 0 0 0 0 0 0 2
2013-01-31  0 0 0 1 0 0 0 0
2013-02-14  2 0 0 0 0 0 0 0
2013-04-25  0 1 0 0 0 0 0 0
2013-04-30  2 0 0 0 0 0 0 0
2013-05-06  8 0 0 0 0 0 0 0
2013-07-01  1 0 0 0 0 0 0 0
2013-07-19  1 0 0 0 0 0 0 0
2013-08-20  1 0 0 0 0 0 0 0
2013-09-03  0 0 0 0 0 1 0 0
2013-09-25  1 0 0 0 0 0 0 0
2013-10-08  1 0 0 0 0 0 0 0
2013-10-18  0 0 0 0 0 0 1 0
2013-10-29  0 0 1 0 0 0 0 0
2013-11-04  0 0 1 0 0 0 0 0
2013-12-13  2 0 0 0 0 0 0 0
2014-01-07  0 0 1 0 0 0 0 0
2014-01-09  5 0 0 0 0 0 0 0
2014-01-29  1 0 0 0 0 0 0 0
2014-02-10  5 0 0 0 0 0 0 0
2014-02-13  1 0 0 0 0 0 0 0
2014-02-20  0 0 1 0 0 0 0 0
2014-02-21  0 0 1 0 0 0 0 0
2014-02-24  3 0 0 0 0 0 4 0
2014-02-25  3 0 0 0 0 0 0 0
2014-02-28  5 0 0 0 0 0 0 0
2014-03-03  0 0 0 1 0 0 0 0
2014-03-04  0 0 0 1 0 0 2 0
2014-03-18  0 0 22  0 0 0 0 0
2014-03-27  1 0 0 0 0 0 0 0
2014-04-04  0 0 0 0 0 0 0 1
2014-04-22  0 1 0 0 0 0 0 0
2014-04-25  0 0 4 0 0 0 0 0
2014-05-06  1 0 0 1 0 0 0 0
2014-05-09  1 0 0 0 0 0 0 0
2014-05-19  2 0 0 0 0 0 1 0
2014-06-09  2 0 0 0 0 0 0 0
2014-06-11  1 0 2 0 0 0 0 0
2014-06-19  2 0 0 0 0 0 0 0
2014-08-05  1 0 0 0 0 0 0 0
2014-08-15  5 0 0 0 0 0 0 0
2014-08-28  1 0 0 0 0 0 0 0
2014-09-05  0 1 0 0 0 0 0 0
2014-09-12  0 0 2 0 0 0 0 0
2014-10-06  4 0 0 0 0 0 0 0
